Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
"BI.EMP.FRML.CA.PB.ZS",,"Core Public Administration workers, as a share of public formal employees",,"Measures the proportion of public sector employees working in core public administration, which includes central government functions such as policymaking, governance, and public service management.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.ED.PB.ZS",,"Education workers, as a share of public formal employees",,"Represents the share of public sector workers employed in the education sector, covering roles such as teachers, administrative staff, and education-related functions in government institutions.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.HE.PB.ZS",,"Health workers, as a share of public formal employees",,"Represents the proportion of public sector employees working in the healthcare sector, including medical professionals, administrative staff, and public health service providers.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.MW.PB.ZS",,"Medical workers, as a share of public formal employees",,"A subset of health workers, this includes doctors, nurses, and other medical professionals working in public hospitals and healthcare facilities.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.ED.ZS",,"Public sector employment, as a share of formal employment, by industry: Education",,"Measures the proportion of all formal employment that is within the public education sector, including teachers and educational administrators.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.HE.ZS",,"Public sector employment, as a share of formal employment, by industry: Health",,"Measures the proportion of all formal employment that is within the public healthcare sector, such as doctors, nurses, and health administrators.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.MW.ZS",,"Public sector employment, as a share of formal employment, by occupation: Medical workers",,"Measures the proportion of all formally employed medical workers that are in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.PA.ZS",,"Public Administration workers, as a share of public formal employees",,"Measures the proportion of public sector employees working in general public administration, including policy, regulatory functions, and governance.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.PS.ZS",,"Public Safety workers, as a share of public formal employees",,"Measures the proportion of public sector employees engaged in public safety roles, such as police officers, fire service personnel, and emergency responders.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.PB.TS.ZS",,"Public sector employment, as a share of formal employment, by occupation: Teachers",,"Measures the share of all formally employed teachers that work in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
